item_id,forecast_start,MSE,abs_error,abs_target_sum,abs_target_mean,seasonal_error,MASE,MAPE,sMAPE,num_masked_target_values,ND,MSIS,QuantileLoss[0.1],Coverage[0.1],QuantileLoss[0.5],Coverage[0.5],QuantileLoss[0.9],Coverage[0.9]
,2017-01,4358172.751478792,12508.228002722964,1033.0,172.16666666666666,869.123595505618,2.398628547079894,15.476915258519206,1.7251411227029452,0.0,12.108642790632105,95.94514188319575,22514.810404901335,1.0,12508.228002722964,1.0,2501.6456005445916,1.0
,2017-02,4051204.2398971138,12066.383498665338,830.0,138.33333333333334,864.3631284916202,2.326642414691709,20.169395246923283,1.7681620956970674,0.0,14.537811444175107,93.06569658766836,21719.49029759761,1.0,12066.383498665338,1.0,2413.2766997330673,1.0
,2017-03,3825703.996286077,11702.740617389027,639.0,106.5,860.6388888888889,2.266289374958337,23.4759376567176,1.8116930271045277,0.0,18.31414807103134,90.6515749983335,21064.933111300248,1.0,11702.740617389027,1.0,2340.548123477805,1.0
,2017-04,3594558.2512526754,11350.332337041682,464.0,77.33333333333333,856.6685082872929,2.2082311160890775,29.86031612430054,1.8535087062941997,0.0,24.46192314017604,88.32924464356309,20430.598206675026,1.0,11350.332337041682,1.0,2270.0664674083355,1.0
,2017-05,3460756.107147424,11140.239260206294,415.0,69.16666666666667,852.4120879120879,2.1781795092976246,30.44966941708563,1.862587867232708,0.0,26.84395002459348,87.12718037190501,20052.43066837133,1.0,11140.239260206294,1.0,2228.0478520412585,1.0
,2017-06,3437256.459495504,11104.473627139716,538.0,89.66666666666667,847.8907103825137,2.182764337267416,28.294667881482066,1.8305675568260462,0.0,20.640285552304306,87.31057349069664,19988.052528851487,1.0,11104.473627139716,1.0,2220.894725427943,1.0
,2017-07,3325906.8008735175,10930.993842968852,809.0,134.83333333333334,843.3097826086956,2.160335792057121,24.046999061142426,1.7615816483930038,0.0,13.511735281790918,86.41343168228487,19675.788917343933,1.0,10930.993842968852,1.0,2186.1987685937697,1.0
,2017-01,2299143.92644031,9035.897059922332,1995.0,332.5,2205.5898876404494,0.6828027512093358,4.985058871229156,1.4049948477050667,0.0,4.529271709234251,27.312110048373437,16264.6147078602,1.0,9035.897059922332,1.0,1807.1794119844662,1.0
,2017-02,2879932.8462743647,9954.88150619309,2045.0,340.8333333333333,2263.8603351955308,0.7328839557390572,5.360120596567849,1.4185818068752072,0.0,4.867912716964836,29.315358229562285,17918.786711147564,1.0,9954.88150619309,1.0,1990.976301238618,1.0
,2017-03,3320130.495120441,10715.296919250788,2056.0,342.6666666666667,2307.95,0.7737961480426923,5.8447593065818175,1.441042529632479,0.0,5.211720291464391,30.951845921707683,19287.534454651417,1.0,10715.296919250788,1.0,2143.059383850157,1.0
,2017-04,3810620.4290609765,11569.479594227945,1947.0,324.5,2341.292817679558,0.8235819904616053,7.05504319950202,1.4961357477027466,0.0,5.942208317528477,32.94327961846421,20825.063269610302,1.0,11569.479594227945,1.0,2313.8959188455883,1.0
,2017-05,3986180.6869122577,11888.087890704364,1857.0,309.5,2354.7582417582416,0.84142310095691,7.697794495264841,1.5290662851445467,0.0,6.401770538882264,33.656924038276394,21398.558203267858,1.0,11888.087890704364,1.0,2377.6175781408724,1.0
,2017-06,3859989.152451193,11636.842499416547,1694.0,282.3333333333333,2349.6284153005463,0.8254384979655072,7.847535250488209,1.547056789232644,0.0,6.869446575806698,33.017539918620294,20946.316498949785,1.0,11636.842499416547,1.0,2327.3684998833087,1.0
,2017-07,3549128.728071624,11020.471000840298,1575.0,262.5,2339.9021739130435,0.7849666483001329,7.7675155797946,1.5360679986642947,0.0,6.997124444977967,31.39866593200531,19836.847801512537,1.0,11020.471000840298,1.0,2204.094200168059,1.0
,2017-01,3819297.36120759,11681.89403273221,728.0,121.33333333333333,202.80337078651687,9.600345059541509,18.836975138335784,1.7834985305102349,0.0,16.04655773726952,384.01380238166035,21027.409258917978,1.0,11681.89403273221,1.0,2336.3788065464414,1.0
,2017-02,3673688.343213178,11462.497729796969,657.0,109.5,201.68156424581005,9.472438868884785,25.23638183795842,1.8023000188488585,0.0,17.446724094059313,378.89755475539135,20632.495913634542,1.0,11462.497729796969,1.0,2292.4995459593933,1.0
,2017-03,3197450.4623679523,10671.235010599841,492.0,82.0,201.11111111111111,8.84356492591147,36.286984680977135,1.84152293969514,0.0,21.689502054064718,353.7425970364587,19208.223019079713,1.0,10671.235010599841,1.0,2134.2470021199674,1.0
,2017-04,2810790.0216526515,9938.00522872871,314.0,52.333333333333336,201.24861878453038,8.230288559453397,45.88370046330177,1.88775909116576,0.0,31.649698180664686,329.2115423781359,17888.409411711684,1.0,9938.00522872871,1.0,1987.601045745742,1.0
,2017-05,2594768.7750766375,9564.56816874441,287.0,47.833333333333336,201.46703296703296,7.912434462920713,46.74935740402796,1.8920204731580679,0.0,33.32602149388296,316.4973785168285,17216.22270373994,1.0,9564.56816874441,1.0,1912.9136337488815,1.0
,2017-06,2827538.1747663836,9936.816868213034,210.0,35.0,200.91803278688525,8.242844714983072,55.573072652417125,1.9200646306587756,0.0,47.31817556291921,329.71378859932287,17886.270362783463,1.0,9936.816868213034,1.0,1987.3633736426063,1.0
,2017-07,3121405.420648555,10369.848970680838,176.0,29.333333333333332,199.97282608695653,8.642715090842389,65.44960316855041,1.93312829012279,0.0,58.91959642432294,345.70860363369553,18665.72814722551,1.0,10369.848970680838,1.0,2073.9697941361674,1.0
